#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,expenses,,," ฿ 2,031.00 ",,,," ฿ 1,760.00 ",,,,,,,,,,,,,,income," ฿ 5,250.00 ",,Salary," ฿ 3,400.00 ",,bills," ฿ 1,330.99 "
,,,,,,,,,BUDGET ALLOWCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,bills,,," ฿ 1,330.99 ",,,," ฿ 1,535.00 ",,,,,,,,,,,,,,expenses," ฿ 2,031.00 ",,Rentals," ฿ 1,200.00 ",,savings, ฿ 940.00 
,,,,,,,,,,,,EXPENSES :,30%,,"1,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,savings,,, ฿ 940.00 ,,,," ฿ 1,040.00 ",,,,,,,,,,,,,,bills," ฿ 1,330.99 ",,,,,depts, ฿ 500.00 
,,,,,,,,,,,,SAVING :,20%,,"1,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,depts,,, ฿ 500.00 ,,,, ฿ 500.00 ,,,,,,,,,,,,,,savings, ฿ 940.00 ,,,,,,
,,PREVIOUS BALANCE,,,,,,,,,,BILLS :,40%,,"2,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,difference,,,, ฿ 648.01 ,,,, ฿ 565.00 ,,,,,,,,,,,,,,depts, ฿ 500.00 ,,,,,,
,, ฿ 200.00 ,,,,,,,,,,DEPTS :,10%,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👉 Custom your progress bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,💰 INCOME,,,,,,,,,,,,,,,,,,,,,,,,👛 EXPENSES (30%) ,,,,,,,,,,,,,Left to Allocate :,,,,,,0.00,,,,,,📃 BILLS (40%) ,,,,,,,,,,,,,Left to Allocate :,,,,,,769.01,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,Payday,,,Actual,,,,Budget,,,,%,,,,,,,,Name,,,,,,,,,Actual,,,,Budget,,,,%,,,,,,,,Name,,,,,,Payday,,,Actual,,,,Budget,,,,%,,,,,,,,,,,,,,,,,,,,,,,
,Freelance,,,,,,12 Jan ,,, ฿ 450.00 ,,,, ฿ 600.00 ,,,,75%,,,,,,,FALSE,Beauty,,,,,,,,, ฿ 233.00 ,,,, ฿ 200.00 ,,,,117%,,,,,,,FALSE,Heating,,,,,,2 Jan ,,, ฿ 95.00 ,,,, ฿ 110.00 ,,,,86%,,,,,,,,,,,,,,,,Flow2,,,,,,,
,Salary,,,,,,1 Jan ,,," ฿ 3,400.00 ",,,," ฿ 3,400.00 ",,,,100%,,,,,,,FALSE,Cinema,,,,,,,,, ฿ 28.00 ,,,, ฿ 30.00 ,,,,93%,,,,,,,FALSE,Water,,,,,,4 Jan ,,, ฿ 76.00 ,,,, ฿ 120.00 ,,,,63%,,,,,,,,,,,,,,,,,budget,,Name,value,,,
,Rentals,,,,,,5 Jan ,,," ฿ 1,200.00 ",,,," ฿ 1,200.00 ",,,,100%,,,,,,,FALSE,Clothing,,,,,,,,, ฿ 60.00 ,,,, ฿ 170.00 ,,,,35%,,,,,,,FALSE,Netflix,,,,,,5 Jan ,,, ฿ 14.99 ,,,, ฿ 15.00 ,,,,100%,,,,,,,,,,,,,,,,previous, ฿ 200.00 ,,previous, ฿ 200.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Dinning Out,,,,,,,,, ฿ 110.00 ,,,, ฿ 100.00 ,,,,110%,,,,,,,FALSE,Credit Card,,,,,,10 Jan ,,, ฿ 375.00 ,,,, ฿ 375.00 ,,,,100%,,,,,,,,,,,,,,,,income," ฿ 5,200.00 ",,income," ฿ 5,250.00 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Education,,,,,,,,, ฿ 40.00 ,,,, ฿ 50.00 ,,,,80%,,,,,,,FALSE,Blue Apron,,,,,,15 Jan ,,, ฿ 40.00 ,,,, ฿ 40.00 ,,,,100%,,,,,,,,,,,,,,,,expenses," ฿ 1,760.00 ",,expenses," ฿ 2,031.00 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Fuel,,,,,,,,, ฿ 75.00 ,,,, ฿ 80.00 ,,,,94%,,,,,,,FALSE,Electricity,,,,,,18 Jan ,,, ฿ 5.00 ,,,, ฿ 150.00 ,,,,3%,,,,,,,,,,,,,,,,bills," ฿ 1,535.00 ",,bills," ฿ 1,330.99 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Gadgets,,,,,,,,, ฿ 220.00 ,,,, ฿ 300.00 ,,,,73%,,,,,,,FALSE,Spotify,,,,,,18 Jan ,,, ฿ 10.00 ,,,, ฿ 10.00 ,,,,100%,,,,,,,,,,,,,,,,savings," ฿ 1,040.00 ",,savings, ฿ 940.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Groceries,,,,,,,,, ฿ 140.00 ,,,, ฿ 200.00 ,,,,70%,,,,,,,FALSE,Health Insurance,,,,,,22 Jan ,,, ฿ 320.00 ,,,, ฿ 320.00 ,,,,100%,,,,,,,,,,,,,,,,depts, ฿ 500.00 ,,depts, ฿ 500.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Health,,,,,,,,, ฿ 85.00 ,,,, ฿ 100.00 ,,,,85%,,,,,,,FALSE,House Insurance,,,,,,22 Jan ,,, ฿ 125.00 ,,,, ฿ 125.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Hobby,,,,,,,,, ฿ 35.00 ,,,, ฿ 75.00 ,,,,47%,,,,,,,FALSE,Internet,,,,,,22 Jan ,,, ฿ 70.00 ,,,, ฿ 70.00 ,,,,100%,,,,,,,,,,,,,,,,Flow3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Household,,,,,,,,, ฿ 70.00 ,,,, ฿ 70.00 ,,,,100%,,,,,,,FALSE,Water,,,,,,30 Jan ,,, ฿ 200.00 ,,,, ฿ 200.00 ,,,,100%,,,,,,,,,,,,,,,,Name,actual,budget,,,,,
,Total + Previous Balance,,,,,,,,," ฿ 5,250.00 ",,,," ฿ 5,200.00 ",,,,101%,,,,,,,FALSE,Pet,,,,,,,,, ฿ 60.00 ,,,, ฿ 60.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,previous, ฿ 200.00 , ฿ 200.00 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Self-Devlopment,,,,,,,,, ฿ 40.00 ,,,, ฿ 40.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,income," ฿ 5,250.00 "," ฿ 5,200.00 ",,,,,
,,💴 SAVING (20%) ,,,,,,,,,,,,,Left to Allocate :,,,,,110.00,,,,,FALSE,Shopping,,,,,,,,, ฿ 585.00 ,,,, ฿ 85.00 ,,,,688%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expenses," ฿ 2,031.00 "," ฿ 1,760.00 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Spotify,,,,,,,,, ฿ 250.00 ,,,, ฿ 200.00 ,,,,125%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bills," ฿ 1,330.99 "," ฿ 1,535.00 ",,,,,
,,Name,,,,,,,,Actual,,,,Budget,,,,%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,savings, ฿ 940.00 ," ฿ 1,040.00 ",,,,,
,FALSE,Crypto,,,,,,,, ฿ 100.00 ,,,, ฿ 150.00 ,,,,67%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,depts, ฿ 500.00 , ฿ 500.00 ,,,,,
,FALSE,Mutual Funds,,,,,,,, ฿ 250.00 ,,,, ฿ 300.00 ,,,,83%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,Real Estate,,,,,,,, ฿ 290.00 ,,,, ฿ 290.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,Stocks,,,,,,,, ฿ 300.00 ,,,, ฿ 300.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,, ฿ 940.00 ,,,," ฿ 1,040.00 ",,,,90%,,,,,,,Total,,,,,,,,,," ฿ 2,031.00 ",,,," ฿ 1,760.00 ",,,,115%,,,,,,,Total,,,,,,,,,," ฿ 1,330.99 ",,,," ฿ 1,535.00 ",,,,87%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,💸 TRANSACTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,,,Type :,- Select - ,,,,,,,,,💳 DEPTS (10%) ,,,,,,,,,,,,,Left to Allocate :,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category :,- Select - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,,,,,Type,,,,,Category,,,,,,,, Amount ,,,,,Budget,,,,,Note,,,,,,,,,,,,,,,,,,,,,Name,,,,,,Payday,,,Actual,,,,Budget,,,,%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-06,,,,,Expenses,,,,,Clothing,,,,,,,, ฿ 60.00 ,,,,, ฿ 170.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Student Loan,,,,,,3 Jan ,,, ฿ 250.00 ,,,, ฿ 250.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-05,,,,,Bills,,,,,Netflix,,,,,,,, ฿ 14.99 ,,,,, ฿ 15.00 ,,,,, จ่ายก่อนวันที่ 10 Jan ,,,,,,,,,,,,,,,,,,,,FALSE,Student Loan,,,,,,17 Jan ,,, ฿ 250.00 ,,,, ฿ 250.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-16,,,,,Expenses,,,,,Groceries,,,,,,,, ฿ 80.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-01,,,,,Savings,,,,,Stocks,,,,,,,, ฿ 300.00 ,,,,, ฿ 300.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-01,,,,,Income,,,,,Salary,,,,,,,," ฿ 3,400.00 ",,,,," ฿ 3,400.00 ",,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-18,,,,,Bills,,,,,Spotify,,,,,,,, ฿ 10.00 ,,,,, ฿ 10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-15,,,,,Expenses,,,,,Hobby,,,,,,,, ฿ 5.00 ,,,,, ฿ 15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-04,,,,,Expenses,,,,,Hobby,,,,,,,, ฿ 30.00 ,,,,, ฿ 60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-03,,,,,Debts,,,,,Student Loan,,,,,,,, ฿ 250.00 ,,,,, ฿ 250.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-05,,,,,Income,,,,,Rentals,,,,,,,," ฿ 1,200.00 ",,,,," ฿ 1,200.00 ",,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-17,,,,,Debts,,,,,Student Loan,,,,,,,, ฿ 250.00 ,,,,, ฿ 250.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-20,,,,,Expenses,,,,,Dinning Out,,,,,,,, ฿ 110.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-01,,,,,Savings,,,,,Crypto,,,,,,,, ฿ 100.00 ,,,,, ฿ 150.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-15,,,,,Bills,,,,,Blue Apron,,,,,,,, ฿ 40.00 ,,,,, ฿ 40.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2024-01-12,,,,,Income,,,,,Freelance,,,,,,,, ฿ 450.00 ,,,,, ฿ 600.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-06,,,,,Expenses,,,,,Gadgets,,,,,,,, ฿ 100.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,Bills,,,,,House Insurance,,,,,,,, ฿ 125.00 ,,,,, ฿ 125.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-11,,,,,Expenses,,,,,Pet,,,,,,,, ฿ 60.00 ,,,,, ฿ 60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,Bills,,,,,Health Insurance,,,,,,,, ฿ 320.00 ,,,,, ฿ 320.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,Expenses,,,,,Household,,,,,,,, ฿ 70.00 ,,,,, ฿ 70.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-02,,,,,Savings,,,,,Real Estate,,,,,,,, ฿ 290.00 ,,,,, ฿ 290.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-04,,,,,Bills,,,,,Water,,,,,,,, ฿ 76.00 ,,,,, ฿ 120.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-07,,,,,Expenses,,,,,Education,,,,,,,, ฿ 40.00 ,,,,, ฿ 50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-02,,,,,Savings,,,,,Mutual Funds,,,,,,,, ฿ 250.00 ,,,,, ฿ 300.00 ,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,, ฿ 500.00 ,,,, ฿ 500.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-09,,,,,Expenses,,,,,Cinema,,,,,,,, ฿ 28.00 ,,,,, ฿ 30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-10,,,,,Bills,,,,,Credit Card,,,,,,,, ฿ 375.00 ,,,,, ฿ 375.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-18,,,,,Expenses,,,,,Shopping,,,,,,,, ฿ 585.00 ,,,,, ฿ 85.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-10,,,,,Expenses,,,,,Fuel,,,,,,,, ฿ 75.00 ,,,,, ฿ 80.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-12,,,,,Expenses,,,,,Groceries,,,,,,,, ฿ 60.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-13,,,,,Expenses,,,,,Gadgets,,,,,,,, ฿ 120.00 ,,,,, ฿ 200.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-19,,,,,Expenses,,,,,Beauty,,,,,,,, ฿ 233.00 ,,,,, ฿ 200.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-19,,,,,Expenses,,,,,Health,,,,,,,, ฿ 85.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-16,,,,,Expenses,,,,,Self-Devlopment,,,,,,,, ฿ 40.00 ,,,,, ฿ 40.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,Bills,,,,,Internet,,,,,,,, ฿ 70.00 ,,,,, ฿ 70.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-18,,,,,Bills,,,,,Electricity,,,,,,,, ฿ 5.00 ,,,,, ฿ 150.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-02,,,,,Bills,,,,,Heating,,,,,,,, ฿ 95.00 ,,,,, ฿ 110.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-30,,,,,Expenses,,,,,Spotify,,,,,,,, ฿ 250.00 ,,,,, ฿ 200.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-30,,,,,Bills,,,,,Water,,,,,,,, ฿ 200.00 ,,,,, ฿ 200.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
