--- START OF FILE สำเนาของ Budget Planner for Monthly & Expense Tracker - Template.csv ---

#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,เงินออม :,20%,,"1,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔴,หนี้สิน,,, ฿ 500.00 ,,,, ฿ 500.00 ,,,,,,,,,,,,,,เงินออม, ฿ 940.00 ,,,,,,
,,ยอดยกมา,,,,,,,,,,ค่าบิล :,40%,,"2,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ส่วนต่าง,,,, ฿ 648.01 ,,,, ฿ 565.00 ,,,,,,,,,,,,,,หนี้สิน, ฿ 500.00 ,,,,,,
,, ฿ 200.00 ,,,,,,,,,,หนี้สิน :,10%,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👉 กำหนดแถบความคืบหน้าของคุณเอง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,💰 ร า ย รั บ,,,,,,,,,,,,,,,,,,,,,,,,👛 ร า ย จ่ า ย (30%) ,,,,,,,,,,,,,เหลือให้จัดสรร :,,,,,,0.00,,,,,,📃 ค่ า บิ ล (40%) ,,,,,,,,,,,,,เหลือให้จัดสรร :,,,,,,769.01,,,,,,,,,,,,,,,,,,,,,
,ชื่อ,,,,,,วันรับเงิน,,,จริง,,,,งบประมาณ,,,,%,,,,,,,,ชื่อ,,,,,,,,,จริง,,,,งบประมาณ,,,,%,,,,,,,,ชื่อ,,,,,,วันจ่าย,,,จริง,,,,งบประมาณ,,,,%,,,,,,,,,,,,,,,,,,,,,,,
,ฟรีแลนซ์,,,,,,12 ม.ค. ,,, ฿ 450.00 ,,,, ฿ 600.00 ,,,,75%,,,,,,,FALSE,ความงาม (Beauty),,,,,,, ฿ 233.00 ,,,, ฿ 200.00 ,,,,117%,,,,,,,FALSE,ค่าเครื่องทำความร้อน (Heating),,,2 ม.ค. ,,, ฿ 95.00 ,,,, ฿ 110.00 ,,,,86%,,,,,,,,,,,,,,,,กระแส 2,,,,,,,
,เงินเดือน,,,,,,1 ม.ค. ,,," ฿ 3,400.00 ",,,," ฿ 3,400.00 ",,,,100%,,,,,,,FALSE,โรงภาพยนตร์ (Cinema),,,,,,,,, ฿ 28.00 ,,,, ฿ 30.00 ,,,,93%,,,,,,,FALSE,ค่าน้ำ (Water),,,,,2 ม.ค. ,,, ฿ 76.00 ,,,, ฿ 120.00 ,,,,63%,,,,,,,,,,,,,,,,,งบประมาณ,,ชื่อ,ค่า,,,
,ค่าเช่า,,,,,,5 ม.ค. ,,," ฿ 1,200.00 ",,,," ฿ 1,200.00 ",,,,100%,,,,,,,FALSE,เสื้อผ้า (Clothing),,,,,,,,, ฿ 60.00 ,,,, ฿ 170.00 ,,,,35%,,,,,,,FALSE,Netflix,,,,,,5 ม.ค. ,,, ฿ 14.99 ,,,, ฿ 15.00 ,,,,100%,,,,,,,,,,,,,,,,ยอดยกมา, ฿ 200.00 ,,ยอดยกมา, ฿ 200.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ทานอาหารนอกบ้าน (Dinning Out),,,,,,,,, ฿ 110.00 ,,,, ฿ 100.00 ,,,,110%,,,,,,,FALSE,บัตรเครดิต (Credit Card),,,10 ม.ค. ,,, ฿ 375.00 ,,,, ฿ 375.00 ,,,,100%,,,,,,,,,,,,,,,,รายรับ," ฿ 5,200.00 ",,รายรับ," ฿ 5,250.00 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,การศึกษา (Education),,,,,,,,, ฿ 40.00 ,,,, ฿ 50.00 ,,,,80%,,,,,,,FALSE,Blue Apron,,,,,,15 ม.ค. ,,, ฿ 40.00 ,,,, ฿ 40.00 ,,,,100%,,,,,,,,,,,,,,,,รายจ่าย," ฿ 1,760.00 ",,รายจ่าย," 2,031.00 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ค่าน้ำมัน (Fuel),,,,,,,,, ฿ 75.00 ,,,, ฿ 80.00 ,,,,94%,,,,,,,FALSE,ค่าไฟฟ้า (Electricity),,,18 ม.ค. ,,, ฿ 5.00 ,,,, ฿ 150.00 ,,,,3%,,,,,,,,,,,,,,,,ค่าบิล," ฿ 1,535.00 ",,ค่าบิล," ฿ 1,330.99 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,อุปกรณ์อิเล็กทรอนิกส์ (Gadgets),,,,,,,,, ฿ 220.00 ,,,, ฿ 300.00 ,,,,73%,,,,,,,FALSE,Spotify,,,,,,18 ม.ค. ,,, ฿ 10.00 ,,,, ฿ 10.00 ,,,,100%,,,,,,,,,,,,,,,,เงินออม," ฿ 1,040.00 ",,เงินออม, ฿ 940.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ค่าของชำ (Groceries),,,,,,,,, ฿ 140.00 ,,,, ฿ 200.00 ,,,,70%,,,,,,,FALSE,ประกันสุขภาพ (Health Insurance),,,22 ม.ค. ,,, ฿ 320.00 ,,,, ฿ 320.00 ,,,,100%,,,,,,,,,,,,,,,,หนี้สิน, ฿ 500.00 ,,หนี้สิน, ฿ 500.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,สุขภาพ (Health),,,,,,,,, ฿ 85.00 ,,,, ฿ 100.00 ,,,,85%,,,,,,,FALSE,ประกันบ้าน (House Insurance),,,22 ม.ค. ,,, ฿ 125.00 ,,,, ฿ 125.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,งานอดิเรก (Hobby),,,,,,,,, ฿ 35.00 ,,,, ฿ 75.00 ,,,,47%,,,,,,,FALSE,อินเทอร์เน็ต (Internet),,,22 ม.ค. ,,, ฿ 70.00 ,,,, ฿ 70.00 ,,,,100%,,,,,,,,,,,,,,,,กระแส 3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ของใช้ในบ้าน (Household),,,,,,,,, ฿ 70.00 ,,,, ฿ 70.00 ,,,,100%,,,,,,,FALSE,ค่าน้ำ (Water),,,,,30 ม.ค. ,,, ฿ 200.00 ,,,, ฿ 200.00 ,,,,100%,,,,,,,,,,,,,,,,ชื่อ,จริง,งบประมาณ,,,,,
,รวม + ยอดยกมา,,,,,,,,," ฿ 5,250.00 ",,,," ฿ 5,200.00 ",,,,101%,,,,,,,FALSE,สัตว์เลี้ยง (Pet),,,,,,,,, ฿ 60.00 ,,,, ฿ 60.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ยอดยกมา, ฿ 200.00 , ฿ 200.00 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,การพัฒนาตนเอง (Self-Devlopment),,,,,,,,, ฿ 40.00 ,,,, ฿ 40.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รายรับ," ฿ 5,250.00 "," ฿ 5,200.00 ",,,,,
,,💴 เ งิ น อ อ ม (20%) ,,,,,,,,,,,,,เหลือให้จัดสรร :,,,,,110.00,,,,,FALSE,ช้อปปิ้ง (Shopping),,,,,,,,, ฿ 585.00 ,,,, ฿ 85.00 ,,,,688%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รายจ่าย," ฿ 2,031.00 "," ฿ 1,760.00 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Spotify (รายจ่าย),,,,,,,,, ฿ 250.00 ,,,, ฿ 200.00 ,,,,125%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ค่าบิล," ฿ 1,330.99 "," ฿ 1,535.00 ",,,,,
,,ชื่อ,,,,,,,,จริง,,,,งบประมาณ,,,,%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เงินออม, ฿ 940.00 ," ฿ 1,040.00 ",,,,,
,FALSE,คริปโต (Crypto),,,,,,,, ฿ 100.00 ,,,, ฿ 150.00 ,,,,67%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,หนี้สิน, ฿ 500.00 , ฿ 500.00 ,,,,,
,FALSE,กองทุนรวม (Mutual Funds),,,,,,,, ฿ 250.00 ,,,, ฿ 300.00 ,,,,83%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,อสังหาริมทรัพย์ (Real Estate),,,,,,,, ฿ 290.00 ,,,, ฿ 290.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,หุ้น (Stocks),,,,,,,, ฿ 300.00 ,,,, ฿ 300.00 ,,,,100%,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รวม,,,,,,,,, ฿ 940.00 ,,,," ฿ 1,040.00 ",,,,90%,,,,,,,รวม,,,,,,,,,," ฿ 2,031.00 ",,,," ฿ 1,760.00 ",,,,115%,,,,,,,รวม,,,,,,,,,," ฿ 1,330.99 ",,,," ฿ 1,535.00 ",,,,87%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,💸 ร า ย ก า ร ธุ ร ก ร ร ม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔎,,,ประเภท :,- Select - ,,,,,,,,,💳 ห นี้ สิ น (10%) ,,,,,,,,,,,,,เหลือให้จัดสรร :,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,หมวดหมู่ :,- Select - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,วันที่,,,,,ประเภท,,,,,หมวดหมู่,,,,,,,, จำนวนเงิน ,,,,,งบประมาณ,,,,,หมายเหตุ,,,,,,,,,,,,,,,,,,,,,ชื่อ,,,,,,วันจ่าย,,,จริง,,,,งบประมาณ,,,,%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-06,,,,,รายจ่าย,,,,,เสื้อผ้า (Clothing),,,,,,,, ฿ 60.00 ,,,,, ฿ 170.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,เงินกู้เพื่อการศึกษา (Student Loan),,,3 ม.ค. ,,, ฿ 250.00 ,,,, ฿ 250.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-05,,,,,ค่าบิล,,,,,Netflix,,,,,,,, ฿ 14.99 ,,,,, ฿ 15.00 ,,,,, จ่ายก่อนวันที่ 10 Jan ,,,,,,,,,,,,,,,,,,,,FALSE,เงินกู้เพื่อการศึกษา (Student Loan),,,17 ม.ค. ,,, ฿ 250.00 ,,,, ฿ 250.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-16,,,,,รายจ่าย,,,,,ค่าของชำ (Groceries),,,,,,,, ฿ 80.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-01,,,,,เงินออม,,,,,หุ้น (Stocks),,,,,,,, ฿ 300.00 ,,,,, ฿ 300.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-01,,,,,รายรับ,,,,,เงินเดือน (Salary),,,,,,,," ฿ 3,400.00 ",,,,," ฿ 3,400.00 ",,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-18,,,,,ค่าบิล,,,,,Spotify,,,,,,,, ฿ 10.00 ,,,,, ฿ 10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-15,,,,,รายจ่าย,,,,,งานอดิเรก (Hobby),,,,,,,, ฿ 5.00 ,,,,, ฿ 15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-04,,,,,รายจ่าย,,,,,งานอดิเรก (Hobby),,,,,,,, ฿ 30.00 ,,,,, ฿ 60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-03,,,,,หนี้สิน,,,,,เงินกู้เพื่อการศึกษา (Student Loan),,,,,,,, ฿ 250.00 ,,,,, ฿ 250.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-05,,,,,รายรับ,,,,,ค่าเช่า (Rentals),,,,,,,," ฿ 1,200.00 ",,,,," ฿ 1,200.00 ",,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-17,,,,,หนี้สิน,,,,,เงินกู้เพื่อการศึกษา (Student Loan),,,,,,,, ฿ 250.00 ,,,,, ฿ 250.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-20,,,,,รายจ่าย,,,,,ทานอาหารนอกบ้าน (Dinning Out),,,,,,,, ฿ 110.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-01,,,,,เงินออม,,,,,คริปโต (Crypto),,,,,,,, ฿ 100.00 ,,,,, ฿ 150.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-15,,,,,ค่าบิล,,,,,Blue Apron,,,,,,,, ฿ 40.00 ,,,,, ฿ 40.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2024-01-12,,,,,รายรับ,,,,,ฟรีแลนซ์ (Freelance),,,,,,,, ฿ 450.00 ,,,,, ฿ 600.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-06,,,,,รายจ่าย,,,,,อุปกรณ์อิเล็กทรอนิกส์ (Gadgets),,,,,,,, ฿ 100.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,ค่าบิล,,,,,ประกันบ้าน (House Insurance),,,,,,,, ฿ 125.00 ,,,,, ฿ 125.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-11,,,,,รายจ่าย,,,,,สัตว์เลี้ยง (Pet),,,,,,,, ฿ 60.00 ,,,,, ฿ 60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,ค่าบิล,,,,,ประกันสุขภาพ (Health Insurance),,,,,,,, ฿ 320.00 ,,,,, ฿ 320.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-22,,,,,รายจ่าย,,,,,ของใช้ในบ้าน (Household),,,,,,,, ฿ 70.00 ,,,,, ฿ 70.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-02,,,,,เงินออม,,,,,อสังหาริมทรัพย์ (Real Estate),,,,,,,, ฿ 290.00 ,,,,, ฿ 290.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-04,,,,,ค่าบิล,,,,,ค่าน้ำ (Water),,,,,,,, ฿ 76.00 ,,,,, ฿ 120.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-07,,,,,รายจ่าย,,,,,การศึกษา (Education),,,,,,,, ฿ 40.00 ,,,,, ฿ 50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-02,,,,,เงินออม,,,,,กองทุนรวม (Mutual Funds),,,,,,,, ฿ 250.00 ,,,,, ฿ 300.00 ,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,,,,,,,, ฿ 500.00 ,,,, ฿ 500.00 ,,,,100%,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-09,,,,,รายจ่าย,,,,,โรงภาพยนตร์ (Cinema),,,,,,,, ฿ 28.00 ,,,,, ฿ 30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-10,,,,,ค่าบิล,,,,,บัตรเครดิต (Credit Card),,,,,,,, ฿ 375.00 ,,,,, ฿ 375.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,หมายเหตุ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-18,,,,,รายจ่าย,,,,,ช้อปปิ้ง (Shopping),,,,,,,, ฿ 585.00 ,,,,, ฿ 85.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-10,,,,,รายจ่าย,,,,,ค่าน้ำมัน (Fuel),,,,,,,, ฿ 75.00 ,,,,, ฿ 80.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2025-01-12,,,,,รายจ่าย,,,,,ค่าของชำ (Groceries),,,,,,,, ฿ 60.00 ,,,,, ฿ 100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
